ca_id,codigo_ca,nombre,monto_clp,fecha_publicacion,fecha_cierre,estado_ca_texto,proveedores_cotizando,descripcion,direccion_entrega,productos_solicitados,puntuacion_final,organismo_id,fecha_cierre_segundo_llamado,estado_convocatoria,puntaje_detalle,plazo_entrega
3140,2450-872-COT25,(2º PROCESO) CONTRATACIÒN DE 2 SERVICIOS DE MOVILIZACIÒN DE PASAJEROS (Dideco - Participación Ciudadana),2580000.0,2025-11-11,2025-11-12 15:45:00,Publicada,,"Sol. Nº 393. Dideco - Participación Ciudadana. Requerimiento para el traslado de voluntarios(as) defensa civil para votaciones 2025. (Oferente deberá estar en estado Hábil. Considerar: flete en la propuesta económica, adjuntar cotización con las ET de todo lo solicitado, completar formulario y plazo de entrega. Por regla general 1er llamado es para EMT y Proveedores Locales, se priorizará su participación. Una vez enviada la OC al proveedor está deberá ser aceptada en un plazo máximo de 48 horas","CALLE TENIENTE LAS ROSAS # 615, LA SERENA, La Serena, Región de Coquimbo","[{'codigo_producto': 20102301, 'nombre': 'Transportes de personal', 'descripcion': 'CONTRATACIÒN DE 2 SERVICIOS DE MOVILIZACIÒN PARA LOS DÌAS 16 DE NOVIEMBRE Y 14 DE DICIEMBRE DE 2025, REQUERIMIENTO DE 4 FURGONES CON CAPACIDAD DE 16 PASAJEROS MÀS CONDUCTOR CADA UNO Y PARA CADA UNO DE LOS SERVICIO. TRASLADO DE VOLUNTARIOS(AS) DE LA DEFENSA CIVIL A LOS DISTINTOS LOCALES DE VOTACIÒN DE LA COMUNA DE LA SERENA. SE ADJUNTAN ESPECIFICACIONES TÈCNICAS.', 'cantidad': 2, 'unidad_medida': 'EA'}]",10,48,2025-11-13 15:59:00,1.0,"[""+5: 'dideco' en Título"", ""+5: 'dideco' en Descripción""]",1.0
6823,1075337-2182-COT25,rvv Compra Examen Laboratorio MICRODELECIONES CROMOSOMICAS POR MLPA (A.L.M),1000000.0,2025-11-05,2025-11-12 14:30:00,Publicada,,,,,0,527,,,[],
6825,5061-1007-COT25,"SLP 1909 Adquisición de (1) catre clínico eléctrico para servicios de urgencia del SAR Labranza, según especificaciones técnicas adjuntas.",2500000.0,2025-11-05,2025-11-12 17:00:00,Publicada,,,,,0,253,,,[],
6828,2013-2093-COT25,ARRIENDO DE BUS ,550000.0,2025-11-05,2025-11-13 13:55:00,Publicada,,,,,0,12,,,[],
6857,2952-254-COT25,MATERIALES PARA PARTIDA CRA,985900.0,2025-11-04,2025-11-13 16:03:00,Publicada,,,,,0,1108,,,[],
78,2680-237-COT25,"ADQ  SALIDA PEDAGOGICA RUTA DE LOS POETAS,  LEY SEP, LICEO ELOISA DÍAZ",3160000.0,2025-11-11,2025-11-12 22:50:00,Publicada,,,,,0,52,,,[],
15,4019-485-COT25,COMPRA DE HORNO INDUSTRIAL PARA DEPTO SOCIAL. ,400000.0,2025-11-11,2025-11-13 12:00:00,Publicada,,,,,0,5,,,[],
6833,3323-43-COT25,ADQUISICIÓN DE HERVIDOR PARA LA ACADEMIA DE CIENCIAS POLICIALES,40000.0,2025-11-04,2025-11-13 06:10:00,Publicada,,,,,0,50,,,[],
811,3231-547-COT25,COMPRA DE MEDICAMENTOS VETERINARIOS PARA USUARIOS DEL PROGRAMA PRODESAL. SEGUN SOLICITUD DE COMPRA Y TERMINOS DE REFERENCIA ADJUNTOS,327056.0,2025-11-11,2025-11-12 20:00:00,Publicada,,COMPRA DE MEDICAMENTOS VETERINARIOS PARA USUARIOS DEL PROGRAMA PRODESAL. SEGUN SOLICITUD DE COMPRA Y TERMINOS DE REFERENCIA ADJUNTOS,SEGUN TERMINOS DE REFERENCIA ADJUNTOS,"[{'codigo_producto': 10111305, 'nombre': 'Fármacos veterinarios', 'descripcion': 'COMPRA DE MEDICAMENTOS VETERINARIOS PARA USUARIOS DEL PROGRAMA PRODESAL. SEGUN SOLICITUD DE COMPRA Y TERMINOS DE REFERENCIA ADJUNTOS', 'cantidad': 1, 'unidad_medida': 'GL'}]",10,326,2025-11-15 18:16:00,2.0,"[""+5: 'medicamentos veterinario' en Título"", ""+5: 'medicamentos veterinario' en Descripción""]",7.0
1269,1195-651-COT25,ADQUISICION DE 3 MUEBLES PARA ARCHIVOS PARA EL PROGRAMA LAZOS 2025.,1650000.0,2025-11-11,2025-11-13 11:00:00,OC Emitida,,"Se requieren 3 Muebles para archivos, con las suiguientes características: BIBLIOTECA ESTANDAR MELAMINA PERAL O CEREZZO 205 x 40 x 150 cm •FABRICADO EN MELAMINA SOFT ALTA RESISTENCIA •CUBIERTA Y TECHO 24MM, TC 2mm •ESTRUCTURA 18MM, TC 0,45 •TIRADORES METÁLICOS •CERRADURA •CUERPO SUPERIOR ABIERTO •BASE CON PUERTAS CORREDERAS Y REPISAS INTERIORES. •QUINCALLERIA IMPORTADA. •COLOR MADERA CEREZO O PERAL. MEDIDAS: ALTO: 205 CM LARGO: 150 CM. 
Se debe considerar el despacho a la Ciudad de Coyhaique.","Simón Bolivar #26, Coyhaique.","[{'codigo_producto': 56101708, 'nombre': 'Archivadores móviles', 'descripcion': 'Se requieren 3 Muebles para archivos, con las suiguientes características: BIBLIOTECA ESTANDAR MELAMINA PERAL O CEREZZO 205 x 40 x 150 cm •FABRICADO EN MELAMINA SOFT ALTA RESISTENCIA •CUBIERTA Y TECHO 24MM, TC 2mm •ESTRUCTURA 18MM, TC 0,45 •TIRADORES METÁLICOS •CERRADURA •CUERPO SUPERIOR ABIERTO •BASE CON PUERTAS CORREDERAS Y REPISAS INTERIORES. •QUINCALLERIA IMPORTADA. •COLOR MADERA CEREZO O PERAL. MEDIDAS: ALTO: 205 CM LARGO: 150 CM-\nSe debe considerar el despacho a la Ciudad de Coyhaique.\n', 'cantidad': 3, 'unidad_medida': 'EA'}]",5,213,2025-11-15 02:50:00,1.0,['+5: Organismo Prioritario'],10.0
6610,2731-1159-COT25, S.C. N°05-465_Dideco_Reparacion de vivienda_Materiales de construccion,367000.0,2025-11-06,2025-11-12 20:09:00,OC Emitida,,"Adquisicion de materiales de construccion para reparacion de vivienda. Deberá adjuntar a su propuesta el Anexo N°1 y/o la cotización en formato propio que contenga los valores unitarios y toda la información requerida, en caso contrario su oferta no será considerada válida.",Jaromir Pridal #669,"[{'codigo_producto': 30171504, 'nombre': 'Puertas de madera', 'descripcion': 'Adquisicion de materiales de construccion, segun especificaciones tecnicas descritas en Anexo N°1 adjunto.', 'cantidad': 1, 'unidad_medida': 'GL'}]",10,56,2025-11-12 20:09:00,2.0,"[""+5: 'materiales de construccion' en Título"", ""+5: 'dideco' en Título""]",
6827,1075337-2176-COT25,rvv Compra Examen Laboratorio MICRODELECIONES CROMOSOMICAS POR MLPA (L.A.Y) ,1000000.0,2025-11-05,2025-11-12 14:30:00,Publicada,,,,,0,527,,,[],
6830,1222283-35-COT25,Se requiere adquirir Útiles de Escritorio,1160185.0,2025-11-05,2025-11-12 23:00:00,Publicada,,,,,0,840,,,[],
6831,799512-1207-COT25, CAD REQUIERE MANTENCIÓN PREVENTIVA EQUIPO RX,1000000.0,2025-11-05,2025-11-12 14:58:00,Publicada,,,,,0,665,,,[],
6832,2133-345-COT25,COMPRA ÁGIL TD N° 2565-25 DENOMINADO COMPRA PANEL ENFERMEDADES HEPATICAS AUTOINMUNES. -,46430.0,2025-11-05,2025-11-12 19:00:00,Publicada,,,,,0,487,,,[],
22,2859-1564-COT25,Materiales de aseo,418491.0,2025-11-11,2025-11-17 17:00:00,Publicada,,,,,0,4,,,[],
128,2452-217-COT25,12551 BOLSAS AUTOBAG,6874820.0,2025-11-11,2025-11-14 13:00:00,Publicada,,,,,0,77,,,[],
3098,2912-403-COT25,KEPPRA Y DUODART,550000.0,2025-11-11,2025-11-12 15:40:00,Publicada,,,,,0,214,,,[],
3841,909103-52-COT25,E1O2RT9-SIRE N° 221-MATERIALES DE FERRETERIA OAP.,358000.0,2025-11-11,2025-11-12 20:00:00,OC Emitida,,"MATERIALES DE FERRETERIA PARA MANTENCION Y REPARACION DE INMUEBLE, OAP.","CARLOS ACHARAN N° 263, PANGUIPULLI","[{'codigo_producto': 31211701, 'nombre': 'Esmaltes', 'descripcion': 'Se solicita cotización de materiales de ferretería según listado adjunto.  ', 'cantidad': 1, 'unidad_medida': 'EA'}]",10,40,,1.0,"['+5: Organismo Prioritario', ""+5: 'ferreteria' en Título""]",
115,1375591-26-COT25,PROYECTO ALHAJAMIENTO PATIO INTERIOR,2000000.0,2025-11-11,2025-11-13 21:00:00,Publicada,,,,,0,47,,,[],
116,875646-1746-COT25,CALZADO DE SEGURIDAD UNISEX TEMPEST 3043,789000.0,2025-11-11,2025-11-13 11:00:00,Publicada,,,,,0,53,,,[],
117,4091-312-COT25,"GALVANOS,LICEO CARELMAPU - DAEM",350000.0,2025-11-11,2025-11-13 12:00:00,Publicada,,,,,0,60,,,[],
118,696217-76-COT25,Servicio coffe break,280000.0,2025-11-11,2025-11-13 11:00:00,Publicada,,,,,0,62,,,[],
108,744835-913-COT25,TECLADOS INALAMBRICOS/ MOUSE/ OTROS,442097.0,2025-11-11,2025-11-17 21:30:00,Publicada,,,,,0,43,,,[],
109,799595-146-COT25,COMPRA DE INSUMOS DE ASEO Y OFICINA PARA LA SEREMIA DEL DEPORTE EN LA REGION DE ATACAMA,705000.0,2025-11-11,2025-11-13 13:00:00,Publicada,,,,,0,69,,,[],
111,2859-1561-COT25,Arreglos varios en salon de cocina Depto.de Industrias y Negocios,2200000.0,2025-11-11,2025-11-14 18:00:00,Publicada,,,,,0,4,,,[],
593,3968-214-COT25,UNIFORMES JARDINES VTF,837000.0,2025-11-11,2025-11-14 11:30:00,Publicada,,,,,0,292,,,[],
6721,4314-382-COT25,COMPRA DE FILTRO MULTIMEDIA PARA A.P.R EL MEMBRILLO,2100000.0,2025-11-06,2025-11-16 13:42:00,Publicada,,,,,0,524,,,[],
6722,5586-2625-COT25,P/A Muebles y estantería ,330000.0,2025-11-06,2025-11-13 18:00:00,Publicada,,,,,0,450,,,[],
6723,2291-1368-COT25,"NP Nº399 DIDECO, CONTRATACION DE PSICOLOGO/A PARA ACTIVIDAD DE AUTOCUIDADO",308000.0,2025-11-06,2025-11-12 19:43:00,Publicada,,,,,5,58,,,"[""+5: 'dideco' en Título""]",
6724,2686-558-COT25,ADQUISICION DE TEMPERAS Y ARTICULOS DE FERRETERIA,2200000.0,2025-11-06,2025-11-12 12:12:00,Publicada,,,,,5,232,,,"[""+5: 'ferreteria' en Título""]",
6725,1725-397-COT25,"INSUMOS ELECTRICOS PARA CECREA, CASTRO",320000.0,2025-11-06,2025-11-16 16:13:00,Publicada,,,,,0,722,,,[],
6726,1057472-679-COT25,MANTENIMIENTO CORRECTIVO MESA QUIRURGICA,100000.0,2025-11-06,2025-11-12 11:42:00,Publicada,,,,,0,642,,,[],
6727,1430705-211-COT25,MEDIO DE TRASPORTE VIRAL (BUFFER FOSFATO SALINO) EN TUBO DE 3 ML SIN ADITIVOS NI ACTIVADOR,900000.0,2025-11-06,2025-11-12 17:45:00,Publicada,,,,,0,322,,,[],
